goos: darwin
goarch: arm64
pkg: luabench
cpu: Apple M1 Pro
BenchmarkStandard/richards/luart-jit-10       	      50	  23445929 ns/op	   32420 B/op	     117 allocs/op
BenchmarkStandard/richards/luart-jit-10       	      50	  23695786 ns/op	   32420 B/op	     117 allocs/op
BenchmarkStandard/richards/luart-jit-10       	      48	  23837674 ns/op	   33337 B/op	     118 allocs/op
BenchmarkStandard/richards/luart-jit-10       	      50	  23224064 ns/op	   32420 B/op	     117 allocs/op
BenchmarkStandard/richards/shopify-10         	       8	 135018646 ns/op	11422566 B/op	  646606 allocs/op
BenchmarkStandard/richards/shopify-10         	       8	 135775588 ns/op	11422570 B/op	  646606 allocs/op
BenchmarkStandard/richards/shopify-10         	       8	 141825370 ns/op	11422584 B/op	  646606 allocs/op
BenchmarkStandard/richards/shopify-10         	       8	 138628943 ns/op	11422624 B/op	  646606 allocs/op
BenchmarkStandard/richards/shopify-10         	       8	 135709823 ns/op	11422598 B/op	  646606 allocs/op
BenchmarkStandard/richards/shopify-10         	       8	 137621734 ns/op	11422544 B/op	  646606 allocs/op
BenchmarkStandard/sieve/luart-10              	    2575	    468219 ns/op	  319221 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-10              	    2550	    463053 ns/op	  319220 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-10              	    2588	    473948 ns/op	  319221 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-10              	    2526	    483855 ns/op	  319219 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-10              	    2416	    469641 ns/op	  319221 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-10              	    2539	    493738 ns/op	  319221 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-jit-10          	    8132	    156019 ns/op	  319228 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-jit-10          	    8058	    151097 ns/op	  319229 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-jit-10          	    7930	    186675 ns/op	  319228 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-jit-10          	    8185	    165549 ns/op	  319228 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-jit-10          	    8208	    158967 ns/op	  319228 B/op	      15 allocs/op
BenchmarkStandard/sieve/luart-jit-10          	    7872	    149462 ns/op	  319229 B/op	      15 allocs/op
BenchmarkStandard/sieve/shopify-10            	    1254	    965660 ns/op	  707303 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-10            	    1303	    998455 ns/op	  707303 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-10            	    1323	    962449 ns/op	  707302 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-10            	    1244	    975938 ns/op	  707302 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-10            	    1291	    943477 ns/op	  707302 B/op	   48502 allocs/op
BenchmarkStandard/sieve/shopify-10            	    1335	    926850 ns/op	  707302 B/op	   48502 allocs/op
BenchmarkStandard/storage/luart-10            	     906	   1401068 ns/op	  766762 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-10            	     884	   1342054 ns/op	  766245 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-10            	     902	   1352664 ns/op	  766406 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-10            	     884	   1404685 ns/op	  766769 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-10            	     897	   1333755 ns/op	  766822 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-10            	     886	   1362674 ns/op	  766808 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-jit-10        	    1063	   1057049 ns/op	  766473 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-jit-10        	    1068	   1073909 ns/op	  766458 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-jit-10        	    1173	   1065957 ns/op	  766529 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-jit-10        	    1058	   1080454 ns/op	  766648 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-jit-10        	    1093	   1064016 ns/op	  766656 B/op	    9559 allocs/op
BenchmarkStandard/storage/luart-jit-10        	    1105	   1064626 ns/op	  766801 B/op	    9559 allocs/op
BenchmarkStandard/storage/shopify-10          	     266	   4438803 ns/op	 3023532 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-10          	     266	   4483263 ns/op	 3023530 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-10          	     256	   4530153 ns/op	 3023527 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-10          	     264	   4763834 ns/op	 3023533 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-10          	     267	   4391248 ns/op	 3023528 B/op	   80176 allocs/op
BenchmarkStandard/storage/shopify-10          	     274	   4370940 ns/op	 3023537 B/op	   80176 allocs/op
BenchmarkStandard/towers/luart-10             	     550	   2212625 ns/op	    1904 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-10             	     549	   2179442 ns/op	    1904 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-10             	     546	   2200468 ns/op	    1904 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-10             	     541	   2205370 ns/op	    1904 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-10             	     540	   2204233 ns/op	    1904 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-10             	     529	   2202684 ns/op	    1905 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-jit-10         	    1035	   1044670 ns/op	    2252 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-jit-10         	    1154	   1031239 ns/op	    2213 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-jit-10         	    1148	   1036526 ns/op	    2214 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-jit-10         	    1149	   1120462 ns/op	    2214 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-jit-10         	    1154	   1047963 ns/op	    2213 B/op	      17 allocs/op
BenchmarkStandard/towers/luart-jit-10         	    1152	   1046521 ns/op	    2213 B/op	      17 allocs/op
